test preparation course,total score
none,218
completed,247
none,278
none,148
none,229
none,232
completed,275
none,122
completed,195
none,148
none,164
none,135
none,219
completed,220
none,161
none,222
none,263
none,78
completed,134
none,173
none,198
completed,210
none,151
none,215
completed,225
none,219
none,178
none,211
none,205
none,207
none,217
none,189
none,193
none,120
none,266
completed,241
none,238
none,173
completed,253
none,170
none,170
none,199
none,176
completed,190
none,160
none,176
completed,182
none,213
completed,207
completed,248
none,156
completed,214
none,139
none,241
completed,242
none,117
completed,253
none,156
completed,175
none,27
completed,225
none,112
none,178
none,220
none,176
none,192
none,119
none,206
none,175
none,160
completed,194
completed,181
none,140
none,174
none,139
none,123
none,78
completed,239
completed,207
none,198
none,146
none,139
completed,151
none,199
none,115
none,235
none,247
none,216
none,195
none,241
none,211
none,97
none,221
completed,138
none,257
completed,241
completed,193
completed,205
none,187
none,194
none,213
completed,216
none,265
completed,151
completed,274
none,197
none,287
completed,193
none,198
none,206
completed,264
none,166
none,154
none,163
completed,299
none,235
none,242
none,239
none,175
none,189
completed,260
completed,272
completed,274
none,176
none,236
none,268
none,207
completed,216
none,238
none,151
none,255
completed,130
completed,231
completed,240
completed,228
none,161
completed,146
none,181
none,192
completed,201
none,219
none,185
completed,151
none,147
none,239
none,94
none,247
none,207
completed,224
completed,293
completed,198
none,212
completed,195
none,150
none,190
completed,247
completed,218
none,180
completed,234
none,192
completed,234
completed,248
none,154
none,154
none,264
completed,296
completed,155
completed,212
completed,229
completed,212
completed,219
none,260
none,246
none,200
completed,148
completed,259
completed,158
completed,225
completed,184
completed,297
completed,205
none,176
none,147
none,204
completed,146
completed,197
none,221
completed,196
none,145
none,252
none,200
completed,238
none,192
completed,201
completed,238
none,168
completed,193
none,162
none,153
none,233
completed,237
none,223
none,215
none,194
none,142
completed,223
none,206
completed,237
none,231
none,185
completed,238
none,90
none,164
completed,167
completed,259
completed,242
completed,257
none,115
none,213
completed,173
completed,198
none,245
none,182
none,241
completed,191
none,155
none,215
none,161
none,204
completed,277
none,206
none,131
none,236
none,257
completed,249
none,232
none,196
completed,198
none,157
none,244
completed,207
none,246
none,163
none,153
none,218
none,232
none,239
completed,196
none,191
none,181
completed,145
none,237
completed,200
none,232
none,158
none,205
none,205
completed,232
none,223
completed,227
completed,220
completed,236
none,145
none,282
none,217
none,142
none,219
none,218
completed,275
none,217
none,193
none,149
none,158
none,206
completed,249
none,234
completed,270
completed,197
none,231
none,186
none,147
none,139
none,236
completed,226
none,129
completed,245
completed,267
none,238
none,239
completed,230
none,214
none,229
completed,180
none,213
completed,235
none,189
completed,130
completed,213
completed,136
none,252
completed,240
none,162
completed,232
none,220
completed,232
none,205
completed,267
none,147
none,191
none,158
none,229
none,183
completed,196
completed,204
completed,198
none,202
completed,250
none,233
none,203
none,184
completed,230
none,240
none,232
none,149
none,130
none,266
none,184
none,70
completed,234
none,147
none,192
none,119
completed,171
none,249
none,271
none,195
completed,215
none,143
none,89
completed,150
none,171
none,197
completed,219
completed,206
none,219
none,227
none,180
completed,266
none,215
none,237
none,186
none,175
completed,221
none,161
none,200
none,203
none,185
completed,177
none,182
none,259
none,179
completed,247
none,168
none,93
none,177
completed,167
completed,180
none,188
none,166
none,242
none,232
completed,188
none,220
completed,275
none,202
none,130
none,252
completed,280
none,231
none,192
none,249
completed,282
none,231
none,132
none,124
none,218
none,207
none,202
none,190
none,218
completed,199
none,222
none,210
completed,167
completed,216
none,134
none,180
none,269
none,194
none,173
completed,180
none,139
none,169
completed,287
none,175
none,204
completed,193
none,239
completed,165
completed,256
completed,215
completed,245
none,197
completed,197
completed,202
none,226
completed,213
none,214
none,189
completed,167
completed,268
completed,179
completed,172
completed,224
none,114
none,191
none,255
none,205
none,177
none,185
none,189
none,203
none,172
none,156
none,205
completed,151
none,207
none,214
none,177
completed,259
completed,227
none,239
none,201
none,232
none,234
completed,218
none,195
completed,247
none,135
none,226
completed,234
none,289
none,216
none,172
none,176
none,140
none,257
none,155
none,300
completed,205
none,166
none,153
none,217
none,258
completed,195
none,262
none,95
completed,204
completed,250
none,241
completed,258
none,206
completed,238
none,187
completed,271
completed,230
completed,204
none,220
none,189
none,214
completed,212
none,167
none,197
none,157
none,155
none,215
none,164
none,209
completed,174
completed,243
none,226
none,198
none,256
none,259
none,186
completed,198
none,154
completed,213
none,203
none,219
none,235
completed,273
none,178
completed,276
none,153
none,244
none,204
none,168
none,234
none,265
none,220
none,157
none,163
completed,177
completed,268
completed,248
none,247
completed,213
completed,222
completed,224
none,172
none,261
none,184
none,163
completed,154
none,187
completed,177
none,132
none,117
none,206
completed,208
none,154
completed,181
completed,261
completed,210
completed,232
completed,169
none,179
completed,222
completed,275
completed,212
completed,241
none,237
none,266
none,193
completed,241
completed,289
completed,203
none,193
none,220
none,220
completed,265
none,138
none,203
none,138
none,104
completed,206
none,194
none,193
none,201
completed,228
none,211
completed,278
completed,223
none,145
none,136
completed,292
completed,210
none,158
none,203
completed,216
none,279
none,171
completed,180
none,226
completed,148
completed,164
none,261
completed,162
none,182
none,274
none,236
none,214
completed,228
none,223
none,217
none,201
none,169
none,183
none,179
none,169
none,183
none,200
none,223
completed,291
completed,207
none,69
none,155
none,219
none,228
none,177
none,88
none,234
none,168
completed,263
none,209
none,251
none,152
none,187
none,186
completed,192
none,183
completed,275
none,216
none,268
none,200
none,120
none,249
none,260
completed,206
none,150
none,181
completed,161
completed,282
none,181
completed,296
completed,202
none,155
none,152
completed,150
none,201
none,204
completed,221
none,248
none,248
none,209
completed,228
completed,260
none,236
none,223
none,144
completed,252
none,232
completed,233
none,195
completed,227
none,194
none,194
none,158
completed,229
completed,160
completed,224
completed,269
completed,209
none,231
none,196
none,208
none,196
none,161
none,262
none,224
none,202
none,195
none,201
none,206
completed,170
completed,207
none,249
none,208
completed,230
none,210
none,159
none,223
completed,233
completed,224
completed,180
completed,227
completed,228
none,234
none,184
none,213
none,188
none,171
completed,113
completed,196
completed,293
completed,228
none,228
none,155
none,266
none,155
none,227
completed,221
none,227
none,168
none,254
completed,247
none,201
completed,214
none,191
completed,242
none,196
completed,258
none,194
completed,186
none,199
none,116
none,177
none,255
completed,161
completed,267
completed,250
none,297
none,246
completed,204
completed,257
completed,223
completed,291
none,226
completed,244
none,204
completed,173
completed,252
none,140
none,131
completed,226
completed,217
completed,176
none,249
none,129
completed,225
none,144
completed,270
none,146
none,168
none,183
none,255
completed,192
none,225
none,176
none,225
none,150
none,247
completed,204
none,157
none,225
none,215
none,201
none,169
completed,257
